ID	Category	Sub Category	English	Telugu	Hindi
mnt-1	Monuments	Red Fort	The Red Fort is a historic fort in the city of Delhi in India.	ఎర్రకోట భారతదేశంలోని  ఢిల్లీ  నగరంలో ఒక చారిత్రాత్మక కోట.	लाल किला भारत के दिल्ली शहर का एक ऐतिहासिक किला है।
mnt-2	Monuments	Red Fort	That served as the main residence of the Mughal Emperors.	ఇది మొఘల్ చక్రవర్తుల ప్రధాన నివాసంగా పనిచేసింది.	यह मुगल सम्राटों के मुख्य निवास के रूप में कार्य करता था।
mnt-3	Monuments	Red Fort	Emperor Shah Jahan commissioned construction of the Red Fort on 12 May 1638.	మే 12 1638 న చక్రవర్తి షాజహాన్ ఎర్ర కోట నిర్మాణాన్ని నియమించబడింది.	बादशाह शाहजहाँ ने 12 मई 1638 को लाल किले का निर्माण कार्य शुरू किया।
mnt-4	Monuments	Red Fort	He decided to shift his capital from Agra to Delhi.	అతను తన రాజధానిని ఆగ్రా నుండి ఢిల్లీ  కి మార్చాలని నిర్ణయించుకున్నాడు.	उसने अपनी राजधानी को आगरा से दिल्ली स्थानांतरित करने का फैसला किया।
mnt-5	Monuments	Red Fort	Originally red and white, its painting is credited to architect Ustad Ahmad Lahori.	వాస్తవానికి ఎరుపు మరియు తెలుపు, దీని పెయింటింగ్ వాస్తుశిల్పి ఉస్తాద్ అహ్మద్ లాహోరికి ఈ ఘనత చెందుతుంది.	मूल रूप से लाल और सफेद, इसकी चित्र का श्रेय वास्तुकार उस्ताद अहमद लाहौरी को दिया जाता है।
mnt-6	Monuments	Red Fort	Who also constructed the Taj Mahal.	అతను తాజ్ మహల్ ను కూడా నిర్మించాడు.	ताजमहल का निर्माण भी उसिने करवाया था।
mnt-7	Monuments	Red Fort	On 15 August 1947 the first prime minister of India, Jawaharlal Nehru raised the Indian national flag above the Lahori Gate.	ఆగస్టు 15 న భారత ప్రధాని జవహర్‌లాల్ నెహ్రూ లాహోరి గేట్ పైన భారత జాతీయ జెండాను ఎగురవేశారు	15 अगस्त 1947 को भारत के पहले प्रधान मंत्री, जवाहरलाल नेहरू ने लाहौरी गेट के ऊपर भारतीय राष्ट्रीय ध्वज फहराया।
mnt-8	Monuments	Red Fort	Every year on India's Independence Day (15 August), the prime minister hoists the Indian tricolour flag at the fort's main gate and delivers a nationally broadcast speech from its ramparts.	ప్రతి సంవత్సరం భారత స్వాతంత్ర్య దినోత్సవం (ఆగస్టు 15) లో, ప్రధాన మంత్రి భారత త్రివర్ణ జెండాను కోట ప్రధాన ద్వారం వద్ద ఎగురవేసి, దాని ప్రాకారాల నుండి జాతీయంగా ప్రసారం చేస్తారు.	हर साल भारत के स्वतंत्रता दिवस (15 अगस्त) पर, प्रधान मंत्री किले के मुख्य द्वार पर भारतीय तिरंगा झंडा फहराते हैं और इसकी प्राचीर से राष्ट्रीय स्तर पर प्रसारित भाषण देते हैं।
mnt-9	Monuments	Red Fort	The name Red Fort is a translation of the Hindustani Lāl Qila deriving from its red sandstone walls.	ఎర్ర కోట అనే పేరు హిందూస్థానీ లాల్ కిలా దాని ఎర్ర ఇసుకరాయి గోడల నుండి ఉద్భవించింది.	लाल किला नाम हिंदुस्तानी लाल किला का अनुवाद है जो इसकी लाल बलुआ पत्थर की दीवारों से निकला है।
mnt-10	Monuments	Red Fort	Lal was derived from Hindustani language meaning Red.	లాల్ హిందుస్తానీ భాష నుండి వచ్చింది దాని అర్ధం ఎరుపు.	लाल हिंदुस्तानी भाषा से लिया गया है जिसका अर्थ है लाल।
mnt-11	Monuments	Red Fort	Qalàh derived from Persian word meaning Fortress.	ఖలాహ్ అనేది పెర్షియన్ పదం దాని అర్ధం కోట.	कलीह फारसी शब्द से बना है जिसका अर्थ है किला।
mnt-12	Monuments	Red Fort	As the residence of the imperial family, the fort was originally known as the Blessed Fort.	సామ్రాజ్య కుటుంబం యొక్క నివాసంగా ఈ కోటను మొదట బ్లెస్సెడ్ ఫోర్ట్ అని పిలుస్తారు.	शाही परिवार के निवास के रूप में, किले को मूल रूप से धन्य किले के रूप में जाना जाता था।
mnt-13	Monuments	Red Fort	Agra Fort is also known as Lāl Qila.	ఆగ్రా కోటను లాల్ కిలా అని కూడా పిలుస్తారు.	आगरा के किले को लाल किला के नाम से भी जाना जाता है।
mnt-14	Monuments	Red Fort	Constructed in 1639 by the fifth Mughal Emperor Shah Jahan as the palace of his fortified capital Shahjahanabad.	లో ఐదవ మొఘల్ చక్రవర్తి షాజహాన్ తన బలవర్ధకమైన రాజధాని షాజహానాబాద్ యొక్క రాజభవనంగా నిర్మించాడు.	1639 में पांचवें मुगल सम्राट शाहजहाँ द्वारा शाहजहाँनाबाद अपनी गढ़वाली राजधानी  के महल के रूप में निर्मित किया गया।
mnt-15	Monuments	Red Fort	Red Fort is named for its massive enclosing walls of red sandstone.	ఎర్ర కోట ఎర్ర ఇసుకరాయి గోడలతో నిర్మించబడింది ఉంది.	लाल किले का नाम लाल बलुआ पत्थर की विशाल दीवारों के लिए रखा गया है।
mnt-16	Monuments	Red Fort	The imperial apartments consist of a row of pavilions.	సామ్రాజ్య బహులంతస్తులోని ఇళ్ల  వరుస  చిన్న భవనము కలిగి ఉంటాయి.	शाही शाला में मंडपों की एक पंक्ति होती है।
mnt-17	Monuments	Red Fort	The fort complex is considered to represent the zenith of Mughal creativity under Shah Jahan.	కోట సముదాయం షాజహాన్ ఆధ్వర్యంలో మొఘల్ సృజనాత్మకత యొక్క అత్యున్నత స్థానాన్ని సూచిస్తుంది.	किला परिसर को शाहजहाँ के अधीन मुगल रचनात्मकता के शिखर का प्रतिनिधित्व करने के लिए माना जाता है।
mnt-18	Monuments	Red Fort	Although the palace was planned according to Islamic prototypes.	ప్యాలెస్ ఇస్లామిక్ నమూనాల ప్రకారం ప్రణాళిక చేయబడినప్పటికీ .	हालांकि महल की योजना इस्लामिक मूलरूप के अनुसार बनाई गई थी।
mnt-19	Monuments	Red Fort	Mughal buildings that reflect a fusion of Persian, Timurid and Indian traditions.	ప్రతి పెవిలియన్లో పెర్షియన్, టిమురిడ్ మరియు భారతీయ సంప్రదాయాల కలయికను ప్రతిబింబించే మొఘల్ భవనాలకు విలక్షణమైన నిర్మాణ అంశాలు ఉన్నాయి..	मुगल इमारतें जो फारसी, तैमूरिड और भारतीय परंपराओं के मेल को दर्शाती हैं।
mnt-20	Monuments	Red Fort	The fort was plundered of its artwork and jewels during Nadir Shah's invasion of the Mughal Empire in 1739.	లో నాదిర్ షా మొఘల్ సామ్రాజ్యంపై దాడి చేసిన సమయంలో ఈ కోట దాని కళాకృతులు మరియు ఆభరణాలు దోచుకోబడ్డాయి.	1739 में मुगल साम्राज्य पर नादिर शाह के आक्रमण के दौरान किले की कलाकृति और गहनों को लूट लिया गया था।
mnt-21	Monuments	Red Fort	Most of the fort's marble structures were subsequently demolished by the British following the Indian Rebellion of 1857.	నాటి భారత తిరుగుబాటు తరువాత కోట యొక్క పాలరాయి నిర్మాణాలు చాలావరకు బ్రిటిష్ వారు పడగొట్టారు.	1857 के भारतीय विद्रोह के बाद किले की अधिकांश संगमरमर की संरचनाओं को अंग्रेजों द्वारा ध्वस्त कर दिया गया था।
