ID	Category	Sub Category	ENGLISH	తెలుగు
mnt-1	        Monuments	Red Fort	The Red Fort is a historic fort in the city of Delhi (in Old Delhi) in India that served as the main residence of the Mughal Emperors. 	ఎర్రకోట భారతదేశంలోని  ఢిల్లీ నగరంలో (పాత ఢిల్లీ) ఒక చారిత్రాత్మక కోట, ఇది మొఘల్ చక్రవర్తుల ప్రధాన నివాసంగా పనిచేసింది.
mnt-2	        Monuments	Red Fort	Emperor Shah Jahan commissioned construction of the Red Fort on 12 May 1638, when he decided to shift his capital from Agra to Delhi.	మే 12 న చక్రవర్తి షాజహాన్ ఎర్ర కోట నిర్మాణాన్ని ప్రారంభించాడు, అతను తన రాజధానిని ఆగ్రా నుండి ఢిల్లీ కి మార్చాలని నిర్ణయించుకున్నాడు.
mnt-3	        Monuments	Red Fort	Originally red and white, its painting is credited to architect Ustad Ahmad Lahori, who also constructed the Taj Mahal.	వాస్తవానికి ఎరుపు మరియు తెలుపు, దీని పెయింటింగ్ వాస్తుశిల్పి ఉస్తాద్ అహ్మద్ లాహోరికి ఈ ఘనత చెందుతుంది, అతను తాజ్ మహల్ ను కూడా నిర్మించాడు.
mnt-4	        Monuments	Red Fort	On 15 August 1947, the first prime minister of India, Jawaharlal Nehru, raised the Indian national flag above the Lahori Gate.	ఆగస్టు 15 న భారత ప్రధాని జవహర్‌లాల్ నెహ్రూ లాహోరి గేట్ పైన భారత జాతీయ జెండాను ఎగురవేశారు
mnt-5	        Monuments	Red Fort	Every year on India's Independence Day (15 August), the prime minister hoists the Indian tricolour flag at the fort's main gate and delivers a nationally broadcast speech from its ramparts.	ప్రతి సంవత్సరం భారత స్వాతంత్ర్య దినోత్సవం (ఆగస్టు 15) లో, ప్రధాన మంత్రి భారత త్రివర్ణ జెండాను కోట ప్రధాన ద్వారం వద్ద ఎగురవేసి, దాని ప్రాకారాల నుండి జాతీయంగా ప్రసారం చేస్తారు.
mnt-6	        Monuments	Red Fort	The name Red Fort is a translation of the Hindustani Lāl Qila (Hindi: लाल क़िला, Urdu: لال قلعہ‎), deriving from its red sandstone walls.	ఎర్ర కోట అనే పేరు హిందూస్థానీ లాల్ కిలా (హిందీ: लाल लाल, ఉర్దూ: لال قلعہ), [3] [4] దాని ఎర్ర ఇసుకరాయి గోడల నుండి ఉద్భవించింది.
mnt-7	        Monuments	Red Fort	"Lal was derived from Hindustani language meaning ""Red"" and Qalàh derived from Persian word meaning ""Fortress""."	"లాల్” హిందూస్థానీ భాష నుండి ""ఎరుపు"" మరియు “ఖలాహ్ పెర్షియన్” పదం నుండి ""కోట"" అని అర్ధం."
mnt-8	        Monuments	Red Fort	"As the residence of the imperial family, the fort was originally known as the ""Blessed Fort"" (Qila-i-Mubārak). Agra Fort is also known as Lāl Qila."	"సామ్రాజ్య కుటుంబం యొక్క నివాసంగా, ఈ కోటను మొదట ""బ్లెస్డ్ ఫోర్ట్"" (కిలా-ఇ-ముబారక్)అని పిలుస్తారు. ఆగ్రా కోటను లాల్ కిలా అని కూడా పిలుస్తారు."
mnt-9	  Monuments	Red Fort	Constructed in 1639 by the fifth Mughal Emperor Shah Jahan as the palace of his fortified capital Shahjahanabad, the Red Fort is named for its massive enclosing walls of red sandstone.	లో ఐదవ మొఘల్ చక్రవర్తి షాజహాన్ తన బలవర్ధకమైన రాజధాని షాజహానాబాద్ యొక్క రాజభవనంగా నిర్మించిన ఎర్ర కోట ఎర్ర ఇసుకరాయి గోడలతో నిర్మించబడింది ఉంది.
mnt-10	Monuments	Red Fort	The imperial apartments consist of a row of pavilions, connected by a water channel known as the Stream of Paradise (Nahr-i-Bihisht).	సామ్రాజ్య అపార్టుమెంటులు వరుస పెవిలియన్లను కలిగి ఉంటాయి, వీటిని స్ట్రీమ్ ఆఫ్ ప్యారడైజ్ (నహర్-ఇ-బిహిష్ట్) అని పిలుస్తారు.
