ID	Category	Sub Category	English	Telugu	Hindi
htp-1	Historical temples	Badrinarayana	Badrinarayana Temple is a Hindu temple dedicated to Vishnu ,which is situated in the town of Badrinath in Uttarakhand, India. 	బద్రీనారాయణ ఆలయం విష్ణువుకు అంకితం చేయబడిన హిందూ దేవాలయం, ఇది భారతదేశంలోని ఉత్తరాఖండ్ రాష్ట్రం లోని బద్రీనాథ్ పట్టణంలో ఉంది. 	बद्रीनारायण मंदिर एक हिंदू मंदिर है जो विष्णु को समर्पित है, जो भारत के उत्तराखंड में बद्रीनाथ शहर में स्थित है।
htp-2	Historical temples	Badrinarayana	The temple is also one of the 108 Divya Desams dedicated to Vishnu, who is worshipped as Badrinath—holy shrines for Vaishnavites.	విష్ణువుకు అంకితం చేసిన 108 దివ్య దేశాలలో ఈ ఆలయం కూడా ఒకటి, విష్ణు మూర్తి అక్కడ బద్రినాథుడిగా ఉన్నారు — ఇవి వైష్ణవుల పవిత్ర మందిరాలు	मंदिर विष्णु को समर्पित 108 दिव्य देशमों में से एक है, जिन्हें बद्रीनाथ के रूप में पूजा जाता है - वैष्णवों के लिए पवित्र मंदिर।
htp-3	Historical temples	Badrinarayana	It is open for six months every year, because of extreme weather conditions in the Himalayan region.	హిమాలయ ప్రాంతంలో తీవ్రమైన వాతావరణ పరిస్థితుల కారణంగా ఇది ప్రతి సంవత్సరం ఆరు నెలలు తెరిచి ఉంటుంది. 	यह हिमालयी क्षेत्र में चरम मौसम की स्थिति के कारण हर साल छह महीने के लिए खुला रहता है।
htp-4	Historical temples	Badrinarayana	The temple is located in Garhwal hill tracks in Chamoli district along the banks of Alaknanda River.	ఈ ఆలయం అలకొనంద నది ఒడ్డున చమోలి జిల్లాలోని గర్హ్వాల్ హిల్ ట్రాక్స్ లో ఉంది.	मंदिर अलकनंदा नदी के किनारे चमोली जिले में गढ़वाल पहाड़ी धावन पथ में स्थित है।
htp-5	Historical temples	Badrinarayana	Devotees of all faiths and all schools of thought of Hinduism visit the Badrinath Temple.	అన్ని విశ్వాసాల భక్తులు మరియు హిందూ మతం యొక్క అన్ని ఆలోచనా పాఠశాలలు బద్రీనాథ్ ఆలయాన్ని సందర్శిస్తారు.	सभी धर्मों और हिंदू धर्म के सभी विचारधाराओं के भक्त बद्रीनाथ मंदिर जाते हैं।
htp-6	Historical temples	Badrinarayana	Mata Murti Ka Mela, which commemorates the descent of river Ganges on mother earth, is the most prominent festival celebrated in the Badrinath Temple.	మాతృ భూమిపై గంగా నది సంతతికి గుర్తుగా ఉన్న మాతా మూర్తి కా మేళ బద్రీనాథ్ ఆలయంలో జరుపుకునే ప్రముఖ పండుగ. 	माता मूर्ति का मेला, जो धरती पर गंगा नदी के अवतरण की याद दिलाता है, बद्रीनाथ मंदिर में मनाया जाने वाला सबसे प्रमुख त्योहार है।
htp-7	Historical temples	Badrinarayana	Although Badrinath is located in North India, the head priest, or Rawal, is traditionally a Nambudiri Brahmin chosen from the South Indian state of Kerala.	బద్రీనాథ్ ఉత్తర భారతదేశంలో ఉన్నప్పటికీ, ప్రధాన పూజారి లేదా రావల్ సాంప్రదాయకంగా దక్షిణ భారత రాష్ట్రమైన కేరళ నుండి ఎన్నుకోబడిన నంబుదిరి బ్రాహ్మణుడు.	हालांकि बद्रीनाथ उत्तर भारत में स्थित है, मुख्य पुजारी, या रावल, पारंपरिक रूप से दक्षिण भारतीय राज्य केरल से चुने गए नंबूदिरी ब्राह्मण हैं।
htp-8	Historical temples	Badrinarayana	The temple was included in the Uttar Pradesh state government Act No. 30/1948 as Act no. 16,1939, which later came to be known as Shri Badarinath and Shri Kedarnath Mandir Act.	ఈ ఆలయాన్ని ఉత్తర ప్రదేశ్ రాష్ట్ర ప్రభుత్వ చట్టం నెంబర్ 30/1948 లో యాక్ట్ నెం. 16,1939, తరువాత నుంచి దీనిని శ్రీ బదరీనాథ్, శ్రీ కేదార్‌నాథ్ మందిర్ చట్టం అని తెలిసింది	मंदिर को उत्तर प्रदेश राज्य सरकार अधिनियम संख्या 30/1948 में अधिनियम संख्या के रूप में शामिल किया गया था। 16,1939, जिसे बाद में श्री बदरीनाथ और श्री केदारनाथ मंदिर अधिनियम के रूप में जाना जाने लगा।
htp-9	Historical temples	Badrinarayana	The temple is mentioned in ancient religious texts like Vishnu Purana and Skanda Purana.	విష్ణు పురాణం, స్కంద పురాణం వంటి ప్రాచీన మత గ్రంథాలలో ఈ ఆలయం ప్రస్తావించబడింది. 	मंदिर का उल्लेख विष्णु पुराण और स्कंद पुराण जैसे प्राचीन धार्मिक ग्रंथों में मिलता है।
htp-10	Historical temples	Badrinarayana	The committee nominated by the state government administers both the temples and has seventeen members on its board.	రాష్ట్ర ప్రభుత్వం ఎంపిక చేసిన కమిటీ రెండు దేవాలయాలను నిర్వహిస్తుంది, దాని బోర్డులో పదిహేడు మంది సభ్యులు ఉన్నారు	राज्य सरकार द्वारा नामित समिति दोनों मंदिरों का प्रशासन करती है और इसके बोर्ड में सत्रह सदस्य हैं।
