ID	Category	Sub Category	English	Telugu	Hindi
tdn-1	Traditions	Religion	India has 28 states and 8 union territories with different cultures.		भारत में विभिन्न संस्कृतियों वाले 28 राज्य और 8 केंद्र शासित प्रदेश हैं।
tdn-2	Traditions	Religion	India is one of the most religiously and ethnically diverse nations in the world.		भारत दुनिया में सबसे अधिक धार्मिक और जातीय रूप से विविध देशों में से एक है।
tdn-3	Traditions	Religion	Throughout the history of India, Indian culture has been heavily influenced by Dharmic religions.		भारत के पूरे इतिहास में, भारतीय संस्कृति धार्मिक धर्मों से काफी प्रभावित रही है।
tdn-4	Traditions	Religion	India is the birthplace of Hinduism, Buddhism, Jainism, Sikhism, and other religions.		भारत हिंदू धर्म, बौद्ध धर्म, जैन धर्म, सिख धर्म और अन्य धर्मों का जन्मस्थान है।
tdn-5	Traditions	Religion	Hinduism and Buddhism are the world's third and fourth-largest religions respectively.		हिंदू धर्म और बौद्ध धर्म क्रमशः दुनिया के तीसरे और चौथे सबसे बड़े धर्म हैं।
tdn-6	Traditions	Religion	Religion plays a central and definitive role in the life of many of its people.		धर्म कई लोगों के जीवन में एक केंद्रीय और निश्चित भूमिका निभाता है।
tdn-7	Traditions	Family	For generations, India has a prevailing tradition of the joint family system.		पीढ़ियों से, भारत में संयुक्त परिवार प्रणाली की प्रचलित परंपरा रही है।
tdn-8	Traditions	Family	India has been an accelerated change from joint family to nuclear families.		भारत संयुक्त परिवार से एकल परिवारों में एक त्वरित परिवर्तन रहा है।
tdn-9	Traditions	Marriage	Arranged marriages have long been the norm in Indian society.		भारतीय समाज में माता पिता द्वारा तय किया गया विवाह का चलन लंबे समय से है।
tdn-10	Traditions	Marriage	In most of the marriages, the bride's family provides a dowry to the bridegroom. 		ज्यादातर शादियों में दुल्हन का परिवार दूल्हे को दहेज देता है।
tdn-11	Traditions	Marriage	Weddings are festive occasions in India with extensive decorations, costumes and rituals that depend on the religion of the bride and the groom.		भारत में शादियों में व्यापक सजावट, वेशभूषा और रीति-रिवाजों के साथ उत्सव के अवसर होते हैं जो दूल्हा और दुल्हन के धर्म पर निर्भर करते हैं।
tdn-12	Traditions	Festivals	India celebrates a variety of festivals due to the large diversity of India.		भारत की विशाल विविधता के कारण भारत कई तरह के त्योहार मनाता है।
tdn-13	Traditions	Festivals	Homes, buildings and temples are decorated with festive lights, diya, for Diwali, the festival of lights.		रोशनी के त्योहार दिवाली के लिए घरों, इमारतों और मंदिरों को उत्सव की रोशनी, दीयों से सजाया जाता है।
tdn-14	Traditions	Festivals	The Navaratri festival is an occasion of classical and folk dance performances at Hindu temples.		नवरात्रि त्योहार हिंदू मंदिरों में शास्त्रीय और लोक नृत्य प्रदर्शन का एक अवसर है।
tdn-15	Traditions	Festivals	Kathakali performances are a part of Onam festival tradition.		कथकली प्रदर्शन ओणम त्योहार परंपरा का एक हिस्सा है।
tdn-16	Traditions	Festivals	The Bihu festival is an Assamese Hindu tradition.		बिहू त्योहार एक असमिया हिंदू परंपरा है।
